danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.35,0.0656,3,-16.082,1,0.0359,0.984,0.0,0.106,0.219,68.325,audio_features,5PB7EuGxRLK1GQJjYJGhTD,spotify:track:5PB7EuGxRLK1GQJjYJGhTD,https://api.spotify.com/v1/tracks/5PB7EuGxRLK1GQJjYJGhTD,https://api.spotify.com/v1/audio-analysis/5PB7EuGxRLK1GQJjYJGhTD,148493,3
0.509,0.812,8,-5.438,1,0.0537,0.0013,1.99e-05,0.214,0.689,159.876,audio_features,3nAp4IvdMPPWEH9uuXFFV5,spotify:track:3nAp4IvdMPPWEH9uuXFFV5,https://api.spotify.com/v1/tracks/3nAp4IvdMPPWEH9uuXFFV5,https://api.spotify.com/v1/audio-analysis/3nAp4IvdMPPWEH9uuXFFV5,229640,4
0.504,0.287,1,-11.109,1,0.0346,0.782,1.9e-06,0.218,0.707,133.928,audio_features,1prYSRBfwPvE3v8jSRZL3Q,spotify:track:1prYSRBfwPvE3v8jSRZL3Q,https://api.spotify.com/v1/tracks/1prYSRBfwPvE3v8jSRZL3Q,https://api.spotify.com/v1/audio-analysis/1prYSRBfwPvE3v8jSRZL3Q,117587,4
0.529,0.772,2,-7.013,1,0.0287,0.403,2.21e-06,0.316,0.853,91.751,audio_features,5ASM6Qjiav2xPe7gRkQMsQ,spotify:track:5ASM6Qjiav2xPe7gRkQMsQ,https://api.spotify.com/v1/tracks/5ASM6Qjiav2xPe7gRkQMsQ,https://api.spotify.com/v1/audio-analysis/5ASM6Qjiav2xPe7gRkQMsQ,181267,4
0.647,0.465,7,-8.308,1,0.0428,0.865,0.0,0.0882,0.699,151.251,audio_features,5PuKlCjfEVIXl0ZBp5ZW9g,spotify:track:5PuKlCjfEVIXl0ZBp5ZW9g,https://api.spotify.com/v1/tracks/5PuKlCjfEVIXl0ZBp5ZW9g,https://api.spotify.com/v1/audio-analysis/5PuKlCjfEVIXl0ZBp5ZW9g,119787,4
0.485,0.857,2,-7.059,1,0.0442,0.534,0.0,0.347,0.963,148.749,audio_features,7taXf5odg9xCAZERYfyOkS,spotify:track:7taXf5odg9xCAZERYfyOkS,https://api.spotify.com/v1/tracks/7taXf5odg9xCAZERYfyOkS,https://api.spotify.com/v1/audio-analysis/7taXf5odg9xCAZERYfyOkS,182360,4
0.774,0.508,11,-9.115,1,0.0335,0.288,0.0,0.069,0.773,94.72,audio_features,1F8tXdM8cz9bH5PiK1SuAB,spotify:track:1F8tXdM8cz9bH5PiK1SuAB,https://api.spotify.com/v1/tracks/1F8tXdM8cz9bH5PiK1SuAB,https://api.spotify.com/v1/audio-analysis/1F8tXdM8cz9bH5PiK1SuAB,225840,4
0.561,0.782,3,-7.444,1,0.0317,0.022,0.0,0.109,0.704,127.148,audio_features,3PIDciSFdrQxSQSihim3hN,spotify:track:3PIDciSFdrQxSQSihim3hN,https://api.spotify.com/v1/tracks/3PIDciSFdrQxSQSihim3hN,https://api.spotify.com/v1/audio-analysis/3PIDciSFdrQxSQSihim3hN,153240,4
0.603,0.321,2,-11.489,1,0.0599,0.881,0.0,0.34,0.844,143.104,audio_features,7inXu0Eaeg02VsM8kHNvzM,spotify:track:7inXu0Eaeg02VsM8kHNvzM,https://api.spotify.com/v1/tracks/7inXu0Eaeg02VsM8kHNvzM,https://api.spotify.com/v1/audio-analysis/7inXu0Eaeg02VsM8kHNvzM,155600,4
0.706,0.633,2,-9.715,1,0.0303,0.674,0.0,0.155,0.823,128.88,audio_features,0JoLc8rgQBJhDMolSCuRuw,spotify:track:0JoLc8rgQBJhDMolSCuRuw,https://api.spotify.com/v1/tracks/0JoLc8rgQBJhDMolSCuRuw,https://api.spotify.com/v1/audio-analysis/0JoLc8rgQBJhDMolSCuRuw,123640,4
0.716,0.512,1,-6.257,1,0.0331,0.483,0.0,0.0928,0.326,104.957,audio_features,7uoFMmxln0GPXQ0AcCBXRq,spotify:track:7uoFMmxln0GPXQ0AcCBXRq,https://api.spotify.com/v1/tracks/7uoFMmxln0GPXQ0AcCBXRq,https://api.spotify.com/v1/audio-analysis/7uoFMmxln0GPXQ0AcCBXRq,165907,3
0.599,0.642,0,-6.936,1,0.0363,0.164,3.33e-05,0.0992,0.349,115.412,audio_features,1hvpDAxZPKjKztOc72sv06,spotify:track:1hvpDAxZPKjKztOc72sv06,https://api.spotify.com/v1/tracks/1hvpDAxZPKjKztOc72sv06,https://api.spotify.com/v1/audio-analysis/1hvpDAxZPKjKztOc72sv06,222533,4
0.541,0.909,9,-3.101,1,0.0358,0.128,0.0,0.128,0.962,203.862,audio_features,23lpJkE7jJ4BVQhc3lj0VM,spotify:track:23lpJkE7jJ4BVQhc3lj0VM,https://api.spotify.com/v1/tracks/23lpJkE7jJ4BVQhc3lj0VM,https://api.spotify.com/v1/audio-analysis/23lpJkE7jJ4BVQhc3lj0VM,220160,4
0.724,0.276,7,-12.25,1,0.0599,0.76,0.0,0.116,0.718,112.874,audio_features,2pXpURmn6zC5ZYDMms6fwa,spotify:track:2pXpURmn6zC5ZYDMms6fwa,https://api.spotify.com/v1/tracks/2pXpURmn6zC5ZYDMms6fwa,https://api.spotify.com/v1/audio-analysis/2pXpURmn6zC5ZYDMms6fwa,155933,4
0.426,0.177,5,-9.429,1,0.0436,0.954,0.0,0.317,0.317,133.483,audio_features,7Hz6LLOVxrojLPIHJJ1S0E,spotify:track:7Hz6LLOVxrojLPIHJJ1S0E,https://api.spotify.com/v1/tracks/7Hz6LLOVxrojLPIHJJ1S0E,https://api.spotify.com/v1/audio-analysis/7Hz6LLOVxrojLPIHJJ1S0E,170964,1
0.499,0.304,0,-11.541,1,0.0633,0.81,0.0,0.0546,0.521,129.301,audio_features,4uQqahi1iUP35xE2qGdKdo,spotify:track:4uQqahi1iUP35xE2qGdKdo,https://api.spotify.com/v1/tracks/4uQqahi1iUP35xE2qGdKdo,https://api.spotify.com/v1/audio-analysis/4uQqahi1iUP35xE2qGdKdo,143027,4
0.685,0.391,1,-7.183,1,0.0435,0.744,0.0,0.142,0.443,87.101,audio_features,0cM5URUqqQTpJWonmdzF1J,spotify:track:0cM5URUqqQTpJWonmdzF1J,https://api.spotify.com/v1/tracks/0cM5URUqqQTpJWonmdzF1J,https://api.spotify.com/v1/audio-analysis/0cM5URUqqQTpJWonmdzF1J,202547,4
0.504,0.8,2,-2.763,1,0.0391,0.125,0.0,0.109,0.789,205.945,audio_features,5xDrO9DEDJGUQGfyoHvgDJ,spotify:track:5xDrO9DEDJGUQGfyoHvgDJ,https://api.spotify.com/v1/tracks/5xDrO9DEDJGUQGfyoHvgDJ,https://api.spotify.com/v1/audio-analysis/5xDrO9DEDJGUQGfyoHvgDJ,203653,4
0.594,0.389,10,-7.109,1,0.0517,0.785,0.0,0.0313,0.396,122.331,audio_features,1RMDXedcRno6rDBCbNHDJf,spotify:track:1RMDXedcRno6rDBCbNHDJf,https://api.spotify.com/v1/tracks/1RMDXedcRno6rDBCbNHDJf,https://api.spotify.com/v1/audio-analysis/1RMDXedcRno6rDBCbNHDJf,171093,4
0.328,0.607,2,-11.076,1,0.0315,0.318,0.0,0.765,0.395,146.537,audio_features,3zJw3rugfpVrmBeDDnUYzy,spotify:track:3zJw3rugfpVrmBeDDnUYzy,https://api.spotify.com/v1/tracks/3zJw3rugfpVrmBeDDnUYzy,https://api.spotify.com/v1/audio-analysis/3zJw3rugfpVrmBeDDnUYzy,213880,3
0.672,0.369,0,-13.081,1,0.0301,0.589,0.0,0.0957,0.863,140.49,audio_features,6XzpeMXDvLC86GvAfnUsIA,spotify:track:6XzpeMXDvLC86GvAfnUsIA,https://api.spotify.com/v1/tracks/6XzpeMXDvLC86GvAfnUsIA,https://api.spotify.com/v1/audio-analysis/6XzpeMXDvLC86GvAfnUsIA,133093,4
0.692,0.762,0,-4.867,1,0.0342,0.424,1.27e-05,0.181,0.961,146.673,audio_features,2QpN1ZVw8eJO5f7WcvUA1k,spotify:track:2QpN1ZVw8eJO5f7WcvUA1k,https://api.spotify.com/v1/tracks/2QpN1ZVw8eJO5f7WcvUA1k,https://api.spotify.com/v1/audio-analysis/2QpN1ZVw8eJO5f7WcvUA1k,144013,4
