danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.826,0.793,6,-3.645,0,0.047,0.00518,0.00347,0.05,0.261,119.972,audio_features,4RdUpI3iTwqzCQe9ttKB5Q,spotify:track:4RdUpI3iTwqzCQe9ttKB5Q,https://api.spotify.com/v1/tracks/4RdUpI3iTwqzCQe9ttKB5Q,https://api.spotify.com/v1/audio-analysis/4RdUpI3iTwqzCQe9ttKB5Q,185973,4
0.677,0.682,9,-6.879,1,0.0361,0.0405,0.0,0.0351,0.875,106.279,audio_features,0RmXtDH1cBMGImRrmn5xL6,spotify:track:0RmXtDH1cBMGImRrmn5xL6,https://api.spotify.com/v1/tracks/0RmXtDH1cBMGImRrmn5xL6,https://api.spotify.com/v1/audio-analysis/0RmXtDH1cBMGImRrmn5xL6,192107,4
0.778,0.723,8,-5.285,0,0.0572,0.211,0.0,0.139,0.587,99.996,audio_features,04flUnOU2AaKWQ7nroC8Ud,spotify:track:04flUnOU2AaKWQ7nroC8Ud,https://api.spotify.com/v1/tracks/04flUnOU2AaKWQ7nroC8Ud,https://api.spotify.com/v1/audio-analysis/04flUnOU2AaKWQ7nroC8Ud,223976,4
0.747,0.892,1,-3.272,1,0.21,0.0313,0.0,0.135,0.524,91.007,audio_features,4pGv2AFdSV6N2VwAaVciW0,spotify:track:4pGv2AFdSV6N2VwAaVciW0,https://api.spotify.com/v1/tracks/4pGv2AFdSV6N2VwAaVciW0,https://api.spotify.com/v1/audio-analysis/4pGv2AFdSV6N2VwAaVciW0,268000,4
0.812,0.853,2,-3.517,1,0.0316,0.156,2.29e-06,0.309,0.646,119.942,audio_features,0gpoeZamw0GIJllSNTzvIB,spotify:track:0gpoeZamw0GIJllSNTzvIB,https://api.spotify.com/v1/tracks/0gpoeZamw0GIJllSNTzvIB,https://api.spotify.com/v1/audio-analysis/0gpoeZamw0GIJllSNTzvIB,223773,4
0.579,0.917,4,-4.88,0,0.0618,0.0612,0.0,0.251,0.664,134.04,audio_features,1SQdS3nQT0OALklAVANDnM,spotify:track:1SQdS3nQT0OALklAVANDnM,https://api.spotify.com/v1/tracks/1SQdS3nQT0OALklAVANDnM,https://api.spotify.com/v1/audio-analysis/1SQdS3nQT0OALklAVANDnM,240747,4
0.672,0.731,3,-5.802,0,0.272,0.0304,4.18e-06,0.0839,0.727,128.046,audio_features,31mVuR0oYHVPzZwCbTYMmu,spotify:track:31mVuR0oYHVPzZwCbTYMmu,https://api.spotify.com/v1/tracks/31mVuR0oYHVPzZwCbTYMmu,https://api.spotify.com/v1/audio-analysis/31mVuR0oYHVPzZwCbTYMmu,220640,4
0.536,0.809,8,-5.06,1,0.033,0.0226,0.0644,0.13,0.471,132.038,audio_features,2ElSwyj2zrO8YgQputlw8C,spotify:track:2ElSwyj2zrO8YgQputlw8C,https://api.spotify.com/v1/tracks/2ElSwyj2zrO8YgQputlw8C,https://api.spotify.com/v1/audio-analysis/2ElSwyj2zrO8YgQputlw8C,221600,4
0.738,0.596,6,-7.604,0,0.111,0.136,0.0,0.159,0.39,100.964,audio_features,5AzYIo8Y7pvnKtdl2Yflcb,spotify:track:5AzYIo8Y7pvnKtdl2Yflcb,https://api.spotify.com/v1/tracks/5AzYIo8Y7pvnKtdl2Yflcb,https://api.spotify.com/v1/audio-analysis/5AzYIo8Y7pvnKtdl2Yflcb,230320,4
0.605,0.8,5,-6.235,0,0.0545,0.155,0.0562,0.121,0.836,128.074,audio_features,1nO67wic65N413c11zKxM7,spotify:track:1nO67wic65N413c11zKxM7,https://api.spotify.com/v1/tracks/1nO67wic65N413c11zKxM7,https://api.spotify.com/v1/audio-analysis/1nO67wic65N413c11zKxM7,211880,4
