,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
32,0.596,0.675,8,-6.817,1,0.0326,0.312,0.0,0.341,0.966,81.121,audio_features,5pMZO580uekpfOoJcqF0ld,spotify:track:27tsclvcImSGiQN082KkSQ,https://api.spotify.com/v1/tracks/5pMZO580uekpfOoJcqF0ld,https://api.spotify.com/v1/audio-analysis/5pMZO580uekpfOoJcqF0ld,113557,4
33,0.34,0.207,8,-10.762,1,0.0331,0.81,0.0,0.254,0.412,68.686,audio_features,4hPKGh8WX6zsZ3FQTU2JvB,spotify:track:6hI0j7inZqfUQgRSykPdSZ,https://api.spotify.com/v1/tracks/4hPKGh8WX6zsZ3FQTU2JvB,https://api.spotify.com/v1/audio-analysis/4hPKGh8WX6zsZ3FQTU2JvB,124072,4
34,0.549,0.22,3,-12.886,1,0.0399,0.873,4.09e-06,0.113,0.308,103.901,audio_features,1UjY24WZnvgMkOTgeUbBA4,spotify:track:3AVNJhUm1JU51zBctqtuMd,https://api.spotify.com/v1/tracks/1UjY24WZnvgMkOTgeUbBA4,https://api.spotify.com/v1/audio-analysis/1UjY24WZnvgMkOTgeUbBA4,137467,4
35,0.463,0.649,0,-5.162,0,0.0294,0.0321,0.0,0.235,0.356,126.78,audio_features,4NSpbTS4vPq5rVODdlkF55,spotify:track:68EvOD5N4V9P9OxbA997Ln,https://api.spotify.com/v1/tracks/4NSpbTS4vPq5rVODdlkF55,https://api.spotify.com/v1/audio-analysis/4NSpbTS4vPq5rVODdlkF55,145955,4
36,0.747,0.474,10,-10.909,1,0.044,0.00617,0.0,0.329,0.626,118.021,audio_features,1VyonZxNQIaitHjyiXk72Z,spotify:track:1dtIaSlyrLI04sqYa8nLyN,https://api.spotify.com/v1/tracks/1VyonZxNQIaitHjyiXk72Z,https://api.spotify.com/v1/audio-analysis/1VyonZxNQIaitHjyiXk72Z,99153,4
37,0.236,0.261,2,-13.647,1,0.0374,0.955,0.0245,0.424,0.106,93.383,audio_features,1WrPa4lrIddctGWAIYYfP9,spotify:track:2pnPe4pJtq7689i5ydzvJJ,https://api.spotify.com/v1/tracks/1WrPa4lrIddctGWAIYYfP9,https://api.spotify.com/v1/audio-analysis/1WrPa4lrIddctGWAIYYfP9,195067,3
38,0.451,0.24,1,-14.014,1,0.0351,0.912,2.45e-06,0.175,0.701,134.009,audio_features,2uFaJJtFpPDc5Pa95XzTvg,spotify:track:7inXu0Eaeg02VsM8kHNvzM,https://api.spotify.com/v1/tracks/2uFaJJtFpPDc5Pa95XzTvg,https://api.spotify.com/v1/audio-analysis/2uFaJJtFpPDc5Pa95XzTvg,117147,4
39,0.621,0.147,9,-11.111,1,0.0374,0.821,0.0,0.0754,0.346,110.62,audio_features,53cumdNGYE6NFmGL0zHvx7,spotify:track:5EmYSWE2LpTd4hXxPYdbSf,https://api.spotify.com/v1/tracks/53cumdNGYE6NFmGL0zHvx7,https://api.spotify.com/v1/audio-analysis/53cumdNGYE6NFmGL0zHvx7,137547,4
40,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,audio_features,0bYg9bo50gSsH3LtXe2SQn,spotify:track:4tHqQMWSqmL6YjXwsqthDI,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn,241107,4
41,0.485,0.237,0,-14.822,0,0.0575,0.779,1.27e-06,0.154,0.583,92.683,audio_features,0v2HESaEiiIu9q1cJi3wFn,spotify:track:3H9tWUcyY6lEetQX6OJYZA,https://api.spotify.com/v1/tracks/0v2HESaEiiIu9q1cJi3wFn,https://api.spotify.com/v1/audio-analysis/0v2HESaEiiIu9q1cJi3wFn,166000,4
42,0.317,0.158,9,-16.485,1,0.0381,0.673,0.353,0.338,0.247,130.503,audio_features,4so0Wek9Ig1p6CRCHuINwW,spotify:track:5ASM6Qjiav2xPe7gRkQMsQ,https://api.spotify.com/v1/tracks/4so0Wek9Ig1p6CRCHuINwW,https://api.spotify.com/v1/audio-analysis/4so0Wek9Ig1p6CRCHuINwW,177480,3
43,0.271,0.551,2,-7.48,1,0.0457,0.582,4.16e-05,0.256,0.428,78.111,audio_features,3VTNVsTTu05dmTsVFrmGpK,spotify:track:0chxAqlZXGnUd691QrIkIR,https://api.spotify.com/v1/tracks/3VTNVsTTu05dmTsVFrmGpK,https://api.spotify.com/v1/audio-analysis/3VTNVsTTu05dmTsVFrmGpK,272467,4
44,0.494,0.375,1,-10.545,1,0.0545,0.72,0.0,0.388,0.706,127.873,audio_features,7ErAMg7UErMLbSIoO80dOc,spotify:track:7faDzZnZYqTyYThx2sbHVQ,https://api.spotify.com/v1/tracks/7ErAMg7UErMLbSIoO80dOc,https://api.spotify.com/v1/audio-analysis/7ErAMg7UErMLbSIoO80dOc,169848,4
45,0.255,0.113,0,-15.264,1,0.0337,0.931,1.08e-05,0.273,0.199,109.464,audio_features,33EVpTZhoyQw1mStrZTKfO,spotify:track:4ricyQVd20UQde1jpXCSuJ,https://api.spotify.com/v1/tracks/33EVpTZhoyQw1mStrZTKfO,https://api.spotify.com/v1/audio-analysis/33EVpTZhoyQw1mStrZTKfO,160333,1
46,0.535,0.154,0,-16.793,1,0.0399,0.818,0.946,0.126,0.533,104.527,audio_features,27tsclvcImSGiQN082KkSQ,spotify:track:75clRtmtXSkZsPm6SjjQ5j,https://api.spotify.com/v1/tracks/27tsclvcImSGiQN082KkSQ,https://api.spotify.com/v1/audio-analysis/27tsclvcImSGiQN082KkSQ,170678,4
47,0.681,0.715,7,-10.609,0,0.0912,0.812,9.43e-06,0.0777,0.957,152.132,audio_features,2pnPe4pJtq7689i5ydzvJJ,spotify:track:76Tvx1cq3mkrfo0B5M696f,https://api.spotify.com/v1/tracks/2pnPe4pJtq7689i5ydzvJJ,https://api.spotify.com/v1/audio-analysis/2pnPe4pJtq7689i5ydzvJJ,165733,4
48,0.529,0.772,2,-7.013,1,0.0287,0.403,2.21e-06,0.316,0.853,91.751,audio_features,5ASM6Qjiav2xPe7gRkQMsQ,spotify:track:4HEOgBHRCExyYVeTyrXsnL,https://api.spotify.com/v1/tracks/5ASM6Qjiav2xPe7gRkQMsQ,https://api.spotify.com/v1/audio-analysis/5ASM6Qjiav2xPe7gRkQMsQ,181267,4
