,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
34,0.582,0.599,5,-8.225,1,0.0595,0.789,0.0,0.285,0.835,102.528,audio_features,3y4bj5DAvXyqIi5vs08O3f,spotify:track:3UrDHGMDL0jN2tRJkvWdOd,https://api.spotify.com/v1/tracks/3y4bj5DAvXyqIi5vs08O3f,https://api.spotify.com/v1/audio-analysis/3y4bj5DAvXyqIi5vs08O3f,118173,4
35,0.664,0.672,4,-6.919,0,0.195,0.435,0.0,0.0755,0.678,109.91,audio_features,12qdZg8b6Z0ThII1J8r9vc,spotify:track:7k0eCgFpeLEuExZYEmxwZc,https://api.spotify.com/v1/tracks/12qdZg8b6Z0ThII1J8r9vc,https://api.spotify.com/v1/audio-analysis/12qdZg8b6Z0ThII1J8r9vc,84750,4
36,0.567,0.179,0,-14.694,1,0.136,0.369,0.00649,0.054,0.867,127.514,audio_features,6q1uoQwESbQdhR9YMbKtDG,spotify:track:04nbS4nAE2EssiN1aXKscU,https://api.spotify.com/v1/tracks/6q1uoQwESbQdhR9YMbKtDG,https://api.spotify.com/v1/audio-analysis/6q1uoQwESbQdhR9YMbKtDG,29400,3
37,0.704,0.363,1,-10.555,1,0.109,0.962,0.0,0.198,0.956,125.875,audio_features,1wO3YWWbyGoCOM4LpgzuU7,spotify:track:5s1vwjwOtSpYOpMoKEQ1Lf,https://api.spotify.com/v1/tracks/1wO3YWWbyGoCOM4LpgzuU7,https://api.spotify.com/v1/audio-analysis/1wO3YWWbyGoCOM4LpgzuU7,31486,3
38,0.512,0.333,11,-12.671,1,0.0748,0.828,0.0,0.0968,0.47,173.58,audio_features,0d79aQIzHem1tId812QMBy,spotify:track:39sX8zIABMzPBY0cDblp91,https://api.spotify.com/v1/tracks/0d79aQIzHem1tId812QMBy,https://api.spotify.com/v1/audio-analysis/0d79aQIzHem1tId812QMBy,55219,3
39,0.59,0.878,6,-5.469,1,0.0355,0.0917,0.0,0.317,0.612,133.933,audio_features,7G76UIYs6vaDD1Gm1NCSBm,spotify:track:5gzslnn0fGkJnMz2IbyMw7,https://api.spotify.com/v1/tracks/7G76UIYs6vaDD1Gm1NCSBm,https://api.spotify.com/v1/audio-analysis/7G76UIYs6vaDD1Gm1NCSBm,228013,4
40,0.609,0.252,11,-9.232,1,0.1,0.991,0.0,0.605,0.711,120.007,audio_features,0uTImG08eijXTtYyG8kisA,spotify:track:3ZW7IsHLlxX9fxEjCGqTrY,https://api.spotify.com/v1/tracks/0uTImG08eijXTtYyG8kisA,https://api.spotify.com/v1/audio-analysis/0uTImG08eijXTtYyG8kisA,46080,4
41,0.512,0.333,11,-12.671,1,0.0748,0.828,0.0,0.0968,0.47,173.58,audio_features,3Vx96sIMEH0U9xovRyAvAh,spotify:track:6wewDft59Anfko4X1Ldott,https://api.spotify.com/v1/tracks/3Vx96sIMEH0U9xovRyAvAh,https://api.spotify.com/v1/audio-analysis/3Vx96sIMEH0U9xovRyAvAh,55219,3
42,0.37,0.572,5,-6.786,0,0.0297,0.302,0.0,0.117,0.767,164.119,audio_features,1Taqw1VEHl8Gy9qAZtRLAq,spotify:track:6UCOhagj5cD3o07BIqICk3,https://api.spotify.com/v1/tracks/1Taqw1VEHl8Gy9qAZtRLAq,https://api.spotify.com/v1/audio-analysis/1Taqw1VEHl8Gy9qAZtRLAq,200333,4
43,0.528,0.884,5,-7.083,0,0.0298,0.216,0.0097,0.174,0.954,94.094,audio_features,5BT0sejkliP4fAzR59DW1N,spotify:track:2lO43epQ8yAaWUsZrKsmOm,https://api.spotify.com/v1/tracks/5BT0sejkliP4fAzR59DW1N,https://api.spotify.com/v1/audio-analysis/5BT0sejkliP4fAzR59DW1N,250867,4
44,0.44,0.529,8,-6.762,1,0.0278,0.471,0.0,0.12,0.336,152.025,audio_features,7pvNKtULtDZcEAUBCjpykV,spotify:track:7ihOAPfUkJPrIAiQEv9GfW,https://api.spotify.com/v1/tracks/7pvNKtULtDZcEAUBCjpykV,https://api.spotify.com/v1/audio-analysis/7pvNKtULtDZcEAUBCjpykV,189560,4
45,0.621,0.59,2,-9.031,1,0.0305,0.548,0.0,0.269,0.557,110.061,audio_features,7GW8gHSaruetBuMbRSdma9,spotify:track:1ia2oZRyfApKLJ2aIauj6w,https://api.spotify.com/v1/tracks/7GW8gHSaruetBuMbRSdma9,https://api.spotify.com/v1/audio-analysis/7GW8gHSaruetBuMbRSdma9,249027,4
46,0.194,0.115,6,-24.103,1,0.0437,0.988,0.0,0.106,0.272,171.875,audio_features,1dTR0d6uCvQSjVwVYBzUl3,spotify:track:6kEPKYvF0mm1edHtVgjh6Z,https://api.spotify.com/v1/tracks/1dTR0d6uCvQSjVwVYBzUl3,https://api.spotify.com/v1/audio-analysis/1dTR0d6uCvQSjVwVYBzUl3,75240,1
47,0.233,0.101,10,-24.314,1,0.0446,0.988,0.00702,0.104,0.199,132.921,audio_features,5s1vwjwOtSpYOpMoKEQ1Lf,spotify:track:1hXxIhG7vUfwLlTh9imMST,https://api.spotify.com/v1/tracks/5s1vwjwOtSpYOpMoKEQ1Lf,https://api.spotify.com/v1/audio-analysis/5s1vwjwOtSpYOpMoKEQ1Lf,171720,3
48,0.558,0.336,9,-8.554,0,0.0435,0.802,0.0,0.104,0.231,107.886,audio_features,6UCOhagj5cD3o07BIqICk3,spotify:track:7ky1pctLd0JGWaXjCIbbiN,https://api.spotify.com/v1/tracks/6UCOhagj5cD3o07BIqICk3,https://api.spotify.com/v1/audio-analysis/6UCOhagj5cD3o07BIqICk3,201200,5
49,0.271,0.456,9,-9.752,1,0.0334,0.612,0.0,0.345,0.666,174.479,audio_features,1hXxIhG7vUfwLlTh9imMST,spotify:track:1Y38A5HAP7SYJAzE48M3GW,https://api.spotify.com/v1/tracks/1hXxIhG7vUfwLlTh9imMST,https://api.spotify.com/v1/audio-analysis/1hXxIhG7vUfwLlTh9imMST,207733,3
50,0.555,0.393,10,-8.974,1,0.0245,0.569,0.0,0.0873,0.343,101.003,audio_features,0vcU9Gwi1GLhQae2yCHD00,spotify:track:6sEv89BYhfOA9QsVxKHrLa,https://api.spotify.com/v1/tracks/0vcU9Gwi1GLhQae2yCHD00,https://api.spotify.com/v1/audio-analysis/0vcU9Gwi1GLhQae2yCHD00,270773,3
51,0.707,0.993,2,-3.789,1,0.0378,0.0627,0.00586,0.183,0.907,137.33,audio_features,3vgccqt4gULQ8JE6gid8YS,spotify:track:4H2b1ExxqfnsXxRC2c0Fdb,https://api.spotify.com/v1/tracks/3vgccqt4gULQ8JE6gid8YS,https://api.spotify.com/v1/audio-analysis/3vgccqt4gULQ8JE6gid8YS,221160,4
52,0.772,0.644,2,-7.191,1,0.0381,0.0754,0.0,0.048,0.907,168.4,audio_features,2h4IisMvnpHoSbum5weQAM,spotify:track:0vcU9Gwi1GLhQae2yCHD00,https://api.spotify.com/v1/tracks/2h4IisMvnpHoSbum5weQAM,https://api.spotify.com/v1/audio-analysis/2h4IisMvnpHoSbum5weQAM,90406,4
53,0.498,0.156,7,-12.017,1,0.0398,0.942,0.599,0.132,0.756,121.234,audio_features,1lRTGll82gUpT4rN4ccLrl,spotify:track:5ilB7bp78Nm4LiXYon8OH1,https://api.spotify.com/v1/tracks/1lRTGll82gUpT4rN4ccLrl,https://api.spotify.com/v1/audio-analysis/1lRTGll82gUpT4rN4ccLrl,66227,4
54,0.891,0.543,7,-7.262,0,0.053,0.266,0.0,0.0628,0.654,100.108,audio_features,619PPbpDDOT8SC0Kg33wfe,spotify:track:0P5wCXpGqItUpYbj2bUK0d,https://api.spotify.com/v1/tracks/619PPbpDDOT8SC0Kg33wfe,https://api.spotify.com/v1/audio-analysis/619PPbpDDOT8SC0Kg33wfe,112800,4
55,0.482,0.119,0,-14.77,1,0.0585,0.89,0.0,0.565,0.834,182.545,audio_features,4IDGtQ0DKAeshwYTeYsCkM,spotify:track:3RziapqS8nr6DiejCtI3cd,https://api.spotify.com/v1/tracks/4IDGtQ0DKAeshwYTeYsCkM,https://api.spotify.com/v1/audio-analysis/4IDGtQ0DKAeshwYTeYsCkM,53320,3
56,0.656,0.0396,2,-23.194,1,0.0612,0.974,0.00172,0.0848,0.716,130.549,audio_features,1FLikRORNhoPOOeYshmvDd,spotify:track:47TjT9TAbOcjTPHQ7kD2Hy,https://api.spotify.com/v1/tracks/1FLikRORNhoPOOeYshmvDd,https://api.spotify.com/v1/audio-analysis/1FLikRORNhoPOOeYshmvDd,58893,3
57,0.582,0.288,1,-10.728,1,0.0897,0.957,0.0,0.59,0.682,77.957,audio_features,1ZWqB2l3XsOcBvJ4YijmMh,spotify:track:3vgccqt4gULQ8JE6gid8YS,https://api.spotify.com/v1/tracks/1ZWqB2l3XsOcBvJ4YijmMh,https://api.spotify.com/v1/audio-analysis/1ZWqB2l3XsOcBvJ4YijmMh,99196,5
58,0.464,0.498,0,-9.893,1,0.139,0.794,0.0,0.426,0.702,135.212,audio_features,75EIEaxHEefgniy26lqFlj,spotify:track:0gF8DDkQ4AZEEgPsWL95n6,https://api.spotify.com/v1/tracks/75EIEaxHEefgniy26lqFlj,https://api.spotify.com/v1/audio-analysis/75EIEaxHEefgniy26lqFlj,280133,3
